accession,Name,Formula,RT,MainPositiveAdduct,MainNegativeAdduct,KEGG,CAS,PubChem,ChemSpider,UserId,BioCyc,HMDB,Metlin,LipidMaps,Unnamed: 14
DBK001834,6-phospho-D-gluconic acid,C6H13O10P,0.0,[M+H]+,[M-H]-,,921-62-0,,,,,,,,
DBK001835,L-N(omega)-nitroarginine-(4R)-amino-L-proline amide,C11H22N8O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001836,Triglyme,C8H18O4,0.0,[M+H]+,[M-H]-,,112-49-2,,,,,,,,
DBK001837,Aminooxyacetic acid,C2H5NO3,0.0,[M+H]+,[M-H]-,,645-88-5,,,,,,,,
DBK001838,"1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene",C21H36O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001839,Bis-Benzamidine,C23H28N4O,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001840,Phosphoaminophosphonic acid guanylate ester,C10H17N6O13P3,0.0,[M+H]+,[M-H]-,,34273-04-6,,,,,,,,
DBK001841,"N,N-dimethylglycine",C4H9NO2,0.0,[M+H]+,[M-H]-,,1118-68-9,,,,,,,,
DBK001842,CRA_17312,C25H20N4O6,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001843,1-Aminocyclopropanecarboxylic Acid,C4H7NO2,0.0,[M+H]+,[M-H]-,,22059-21-8,,,,,,,,
DBK001844,"(3,4-Dihydroxy-Phenyl)-Triphenyl-Arsonium",C24H20AsO2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001845,"3,5-Difluorobenzenesulfonamide",C6H5F2NO2S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001846,Norleucine Phosphonate,C5H14NO3P,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001847,CP-526423,C24H24Cl2N4O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001848,A Disubstituted Succinyl Caprolactam Hydroxymate Mmp3inhibitor,C20H37N3O6,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001849,"4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamine",C9H10N4S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001850,Cholesteryl Linoleate,C45H76O2,0.0,[M+H]+,[M-H]-,,604-33-1,,,,,,,,
DBK001851,5-phospho-D-arabinohydroxamic acid,C5H12NO9P,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001852,N-2-Thiophen-2-Yl-Acetamide Boronic Acid,C7H10BNO3S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001853,Isatin,C8H5NO2,0.0,[M+H]+,[M-H]-,,91-56-5,,,,,,,,
DBK001854,FR221647,C14H17N3O2,0.0,[M+H]+,[M-H]-,,256461-28-6,,,,,,,,
DBK001855,Cytidine,C9H13N3O5,0.0,[M+H]+,[M-H]-,,65-46-3,,,,,,,,
DBK001856,Adenosine-2'-5'-Diphosphate,C10H15N5O10P2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001857,S-azabisabolene,C14H26N,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001858,Methyl alpha-galactoside,C7H14O6,0.0,[M+H]+,[M-H]-,,34004-14-3,,,,,,,,
DBK001859,"(S,R)-fidarestat",C12H10FN3O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001860,Mozenavir,C33H36N4O3,0.0,[M+H]+,[M-H]-,,174391-92-5,,,,,,,,
DBK001861,2-Chlorodideoxyadenosine,C10H12ClN5O2,0.0,[M+H]+,[M-H]-,,114849-58-0,,,,,,,,
DBK001862,"2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine",C19H24N6O3,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001863,"3,5-Dinitrocatechol",C6H4N2O6,0.0,[M+H]+,[M-H]-,,7659-29-2,,,,,,,,
DBK001864,"[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid",C23H23Br2NO5,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001865,Leucine - Reduced Carbonyl,C6H15N,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001866,2-Aminoethanimidic Acid,C2H6N2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001867,Hadacidin,C3H5NO4,0.0,[M+H]+,[M-H]-,,689-13-4,,,,,,,,
DBK001868,Protoporphyrin Ix Containing Co,C34H32CoN4O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001869,3-hydroxyisoxazole-4-carboxylic acid,C4H3NO4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001870,Zk-806450,C31H31N5O,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001871,6-Methylpurine,C6H6N4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001872,Cumidine,C9H13N,0.0,[M+H]+,[M-H]-,,99-88-7,,,,,,,,
DBK001873,Daidzin,C21H20O9,0.0,[M+H]+,[M-H]-,,552-66-9,,,,,,,,
DBK001874,Olomoucine,C15H18N6O,0.0,[M+H]+,[M-H]-,,101622-51-9,,,,,,,,
DBK001875,CP-271485,C19H20N2O4S,0.0,[M+H]+,[M-H]-,,35580-46-2,,,,,,,,
DBK001876,"6-Hydroxymethyl-7,8-Dihydropterin",C7H9N5O2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001877,"6-Amino-4-Hydroxymethyl-Cyclohex-4-Ene-1,2,3-Triol",C7H13NO4,0.0,[M+H]+,[M-H]-,,38231-86-6,,,,,,,,
DBK001878,Butyramide,C4H9NO,0.0,[M+H]+,[M-H]-,,541-35-5,,,,,,,,
DBK001879,4-iodo-acetamido phenylboronic acid,C8H9BINO3,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001880,Glycochenodeoxycholic Acid,C26H43NO5,0.0,[M+H]+,[M-H]-,,640-79-9,,,,,,,,
DBK001881,"(2s,3s)-Trans-2,3-Dihydro-3-Hydroxyanthranilic Acid",C7H9NO3,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001882,Adamantanone,C10H14O,0.0,[M+H]+,[M-H]-,,700-58-3,,,,,,,,
DBK001883,4-Carboxycinnamic Acid,C10H8O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001884,Diisopropyl methylphosphonate,C7H17O3P,0.0,[M+H]+,[M-H]-,,1445-75-6,,,,,,,,
DBK001885,[1-(3-hydroxy-2-oxo-1-phenethyl-propylcarbamoyl)2-phenyl-ethyl]-carbamic acid pyridin-4-ylmethyl ester,C27H29N3O5,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001886,Dihydroorotic Acid,C5H6N2O4,0.0,[M+H]+,[M-H]-,,155-54-4,,,,,,,,
DBK001887,Vanillic acid,C8H7O4,0.0,[M+H]+,[M-H]-,,121-34-6,,,,,,,,
DBK001888,N-1-methylheptylformamide,C9H19NO,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001889,Zenarestat,C17H11BrClFN2O4,0.0,[M+H]+,[M-H]-,,112733-06-9,,,,,,,,
DBK001890,Chlorophyll A,C55H72MgN4O5,0.0,[M+H]+,[M-H]-,,479-61-8,,,,,,,,
DBK001891,Xanthine,C5H4N4O2,0.0,[M+H]+,[M-H]-,,69-89-6,,,,,,,,
DBK001892,"1-deoxy-1-{2,6,8-trioxo-7-[4-(phosphonooxy)butyl]-1,2,3,6,7,8-hexahydro-9H-purin-9-yl}-D-arabinitol",C14H23N4O11P,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001893,Cephalosporin analog,C32H42N6O13S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001894,Molybdenum cofactor,C10H10MoN5O8PS2,0.0,[M+H]+,[M-H]-,,872689-63-9,,,,,,,,
DBK001895,Diethyl 4-Methylbenzylphosphonate,C12H19O3P,0.0,[M+H]+,[M-H]-,,3762-25-2,,,,,,,,
DBK001896,(2e)-N-Allyl-4-{[3-(4-Bromophenyl)-5-Fluoro-1-Methyl-1h-Indazol-6-Yl]Oxy}-N-Methyl-2-Buten-1-Amine,C22H23BrFN3O,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001897,N1-(1-Dimethylcarbamoyl-2-Phenyl-Ethyl)-2-Oxo-N4-(2-Pyridin-2-Yl-Ethyl)-Succinamide,C22H26N4O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001898,"S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",C12H18N4S2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001899,Pyridoxamine-5'-Phosphate,C8H13N2O5P,0.0,[M+H]+,[M-H]-,,529-96-4,,,,,,,,
DBK001900,1-hydroxy-2-isopropylguanidine,C4H11N3O,0.0,[M+H]+,[M-H]-,,478806-77-8,,,,,,,,
DBK001901,"1,2-diacyl-sn-glycero-3-phosphoinositol",C43H80O13P,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001902,Butyl alcohol,C4H10O,0.0,[M+H]+,[M-H]-,,71-36-3,,,,,,,,
DBK001903,Glutathione S-atrazine,C18H30N8O6S,0.0,[M+H]+,[M-H]-,,24429-05-8,,,,,,,,
DBK001904,Cyclo-Tetrametavanadate,O12V4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001905,3-Amino-4-Oxybenzyl-2-Butanone,C11H15NO2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001906,Methionine Phosphonate,C4H12NO3PS,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001907,K-252a,C27H21N3O5,0.0,[M+H]+,[M-H]-,,97161-97-2,,,,,,,,
DBK001908,3-sulfino-L-alanine,C3H7NO4S,0.0,[M+H]+,[M-H]-,,1115-65-7,,,,,,,,
DBK001909,"2,3-Bis-Benzo[1,3]Dioxol-5-Ylmethyl-Succinic Acid",C20H18O8,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001910,3-[(3-sec-butyl-4-hydroxybenzoyl)amino]azepan-4-yl 4-(2-hydroxy-5-methoxybenzoyl)benzoate,C32H36N2O7,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001911,Sulfopyruvate,C3H4O6S,0.0,[M+H]+,[M-H]-,,98022-26-5,,,,,,,,
DBK001912,"(2S,3S,4R,5S)-2-(4-Amino-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)-5-[(methylsulfanyl)methyl]-3,4-pyrrolidinediol",C12H19N5O2S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001913,(R)-Propylene glycol,C3H8O2,0.0,[M+H]+,[M-H]-,,4254-14-2,,,,,,,,
DBK001914,S-Butyryl-Cystein,C7H13NO3S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001915,Hydroxy-Phenyl-Acetic Acid 8-Methyl-8-Aza-Bicyclo[3.2.1]Oct-3-Yl Ester,C16H21NO3,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001916,5'-O-(N-Ethyl-Sulfamoyl)Adenosine,C12H18N6O6S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001917,"2,5-Xylidine",C8H11N,0.0,[M+H]+,[M-H]-,,95-78-3,,,,,,,,
DBK001918,N-sulfo-flavin mononucleotide,C17H21N4O12PS,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001919,Zinc trihydroxide,H6O3Zn,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001920,Propidium,C27H34N4,0.0,[M+H]+,[M-H]-,,36015-30-2,,,,,,,,
DBK001921,"N,N-Dimethyl-L-Alanine",C5H11NO2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001922,6-bromopurine,C5H3BrN4,0.0,[M+H]+,[M-H]-,,767-69-1,,,,,,,,
DBK001923,"9,10-Deepithio-9,10-Didehydroacanthifolicin",C44H68O13,0.0,[M+H]+,[M-H]-,,78111-17-8,,,,,,,,
DBK001924,"1,8-Di-Hydroxy-4-Nitro-Xanthen-9-One",C13H7NO6,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001925,"2,5-Dideoxy-2,5-Imino-D-Glucitol",C6H13NO4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001926,Co(III)-(Deuteroporphyrin IX),C30H28CoN4O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001927,D-Glutamine,C5H10N2O3,0.0,[M+H]+,[M-H]-,,5959-95-5,,,,,,,,
DBK001928,Malonic acid,C3H4O4,0.0,[M+H]+,[M-H]-,,141-82-2,,,,,,,,
DBK001929,Mercury Acetate Ion,C2H3HgO2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001930,1-Acetyl-4-(4-{4-[(2-Ethoxyphenyl)Thio]-3-Nitrophenyl}Pyridin-2-Yl)Piperazine,C25H26N4O4S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001931,Phenylacetaldehyde,C8H8O,0.0,[M+H]+,[M-H]-,,122-78-1,,,,,,,,
DBK001932,O-Trifluoromethylphenyl Anthranilic Acid,C14H10F3NO2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001933,Myristoyl-Coa,C35H62N7O17P3S,0.0,[M+H]+,[M-H]-,,3130-72-1,,,,,,,,
DBK001934,2'-Deoxyguanosine-5'-Triphosphate,C10H16N5O13P3,0.0,[M+H]+,[M-H]-,,2564-35-4,,,,,,,,
DBK001935,Hybrid Between B and C Type Hemes (Protoporphyrin Ixcontaining Fe),C34H34FeN4O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001936,Adenosine-5'-ditungstate,C10H15N5O10W2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001937,"D-1,4-dithiothreitol",C4H10O2S2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001938,"2,4-Dihydroxy-7-(Methyloxy)-2h-1,4-Benzoxazin-3(4h)-One",C9H9NO5,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001939,N-acetyl-beta-D-galactosamine 6-sulfate,C8H15NO9S,0.0,[M+H]+,[M-H]-,,157296-99-6,,,,,,,,
DBK001940,Equilin,C18H20O2,0.0,[M+H]+,[M-H]-,,474-86-2,,,,,,,,
DBK001941,N-Methylmesoporphyrin containing copper,C35H39CuN4O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001942,"2',3'-Dideoxyadenosine triphosphate",C10H16N5O11P3,0.0,[M+H]+,[M-H]-,,24027-80-3,,,,,,,,
DBK001943,(S)-oxalosuccinic acid,C6H6O7,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001944,"(7as,12ar,12bs)-1,2,3,4,7a,12,12a,12b-Octahydroindolo[2,3-a]Quinolizin-7(6h)-One",C15H16N2O,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001945,Phenylethyl alcohol,C8H10O,0.0,[M+H]+,[M-H]-,,60-12-8,,,,,,,,
DBK001946,"8-Benzyl-2-Hydroxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One",C26H21N3O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001947,"3-(4-Fluorophenyl)-1-Hydroxy-2-(Pyridin-4-Yl)-1h-Pyrrolo[3,2-B]Pyridine",C18H12FN3O,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001948,Uridine-Diphosphate-N-Acetylgalactosamine,C17H27N3O17P2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001949,"4-[(4-Imidazo[1,2-a]Pyridin-3-Ylpyrimidin-2-Yl)Amino]Benzenesulfonamide",C17H14N6O2S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001950,2-Bromoacetyl Group,C2H3BrO2,0.0,[M+H]+,[M-H]-,,79-08-3,,,,,,,,
DBK001951,"1,3-Dedimethyl-1,3-Divinyl Heme",C36H32FeN4O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001952,3-[N-[benzyloxycarbonyl]-phenylalaninyl-amino]-5-phenyl-pentane-1-sulfonylmethylbenzene,C35H38N2O5S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001953,Malonate Ion,C3H2O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001954,"(S)-butane-1,3-diol",C4H10O2,0.0,[M+H]+,[M-H]-,,24621-61-2,,,,,,,,
DBK001955,Acetone Cyanohydrin,C4H7NO,0.0,[M+H]+,[M-H]-,,75-86-5,,,,,,,,
DBK001956,(+)-Rutamarin alcohol,C19H22O4,0.0,[M+H]+,[M-H]-,,14755-47-6,,,,,,,,
DBK001957,7-Nitroindazole,C7H5N3O2,0.0,[M+H]+,[M-H]-,,2942-42-9,,,,,,,,
DBK001958,Pyridoxine phosphate,C8H12NO6P,0.0,[M+H]+,[M-H]-,,447-05-2,,,,,,,,
DBK001959,"Hexane-1,6-Diol",C6H14O2,0.0,[M+H]+,[M-H]-,,629-11-8,,,,,,,,
DBK001960,(R)-N-methyl-N-2-propynyl-1-indanamine,C13H15N,0.0,[M+H]+,[M-H]-,,124192-87-6,,,,,,,,
DBK001961,Metanitrophenyl-Alpha-D-Galactoside,C12H15NO8,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001962,"6,7-dioxo-5H-8-ribitylaminolumazine",C11H14N4O8,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001963,Furoyl-Leucine,C11H15NO4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001964,S-Methylcysteine,C4H9NO2S,0.0,[M+H]+,[M-H]-,,1187-84-4,,,,,,,,
DBK001965,Dpb-T,C17H19N2O8P,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001966,"N-[4-hydroxymethyl-cyclohexan-6-yl-1,2,3-triol]-4,6-dideoxy-4-aminoglucopyranoside",C13H23NO8,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001967,3-(cyclohexylamino)propanesulfonic acid,C9H19NO3S,0.0,[M+H]+,[M-H]-,,1135-40-6,,,,,,,,
DBK001968,AL7089A,C14H17N3O5S3,0.0,[M+H]+,[M-H]-,,220402-83-5,,,,,,,,
DBK001969,"4-(Aminosulfonyl)-N-[(2,4,6-Trifluorophenyl)Methyl]-Benzamide",C14H11F3N2O3S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001970,"2,6-Diamino-(S)-9-[2-(Phosphonomethoxy)Propyl]Purine",C9H13N6O4P,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001971,LY231514 tetra glu,C35H42N8O15,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001972,Taxifolin,C15H12O7,0.0,[M+H]+,[M-H]-,,480-18-2,,,,,,,,
DBK001973,"1,2-Di-N-Pentanoyl-Sn-Glycero-3-Dithiophosphocholine",C18H36NO6PS2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001974,"3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-4-Yl]Hexyl]-Phenanthridinium",C42H45N8,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001975,"4,5-Dihydroxy-Tetrahydro-Pyran-2-Carboxylic Acid",C6H10O5,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001976,2-deoxy-2-fluoro-β-D-galactose,C6H11FO5,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001977,5'-O-[(L-methionyl)-sulphamoyl]adenosine,C15H25N7O7S2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001978,Immucillin-G,C11H15N5O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001979,"1,2-Dihydroxybenzene",C6H6O2,0.0,[M+H]+,[M-H]-,,120-80-9,,,,,,,,
DBK001980,6-hydroxy-D-norleucine,C6H13NO3,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001981,S-Ethylisothiourea,C3H8N2S,0.0,[M+H]+,[M-H]-,,2986-20-1,,,,,,,,
DBK001982,L-methionine (R)-S-oxide,C5H11NO3S,0.0,[M+H]+,[M-H]-,,62697-73-8,,,,,,,,
DBK001983,Glycinamide Ribonucleotide,C7H15N2O8P,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001984,Maltotetraose,C24H42O21,0.0,[M+H]+,[M-H]-,,34612-38-9,,,,,,,,
DBK001985,4-methylthio-2-oxobutanoic acid,C5H8O3S,0.0,[M+H]+,[M-H]-,,583-92-6,,,,,,,,
DBK001986,Laevulinic Acid,C5H8O3,0.0,[M+H]+,[M-H]-,,123-76-2,,,,,,,,
DBK001987,Quinacrine mustard,C23H28Cl3N3O,0.0,[M+H]+,[M-H]-,,64046-79-3,,,,,,,,
DBK001988,"8-Benzyl-2-Hydroperoxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One",C26H21N3O5,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001989,Cyclohexanepropanoic acid,C9H16O2,0.0,[M+H]+,[M-H]-,,701-97-3,,,,,,,,
DBK001990,4-Morpholin-4-Yl-Piperidine-1-Carboxylic Acid [1-(3-Benzenesulfonyl-1-Propyl-Allylcarbamoyl)-2-Phenylethyl]-Amide,C31H42N4O5S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001991,7-Deazaguanine,C6H6N4O,0.0,[M+H]+,[M-H]-,,7355-55-7,,,,,,,,
DBK001992,Hydrolyzed Cephalothin,C14H16N2O5S2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001993,3-Methyl-5-Sulfo-Pyrrolidine-2-Carboxylic Acid,C6H11NO5S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001994,2-Ethoxyethanol,C4H10O2,0.0,[M+H]+,[M-H]-,,110-80-5,,,,,,,,
DBK001995,O-Succinylbenzoate,C11H10O5,0.0,[M+H]+,[M-H]-,,27415-09-4,,,,,,,,
DBK001996,Iodobenzene,C6H5I,0.0,[M+H]+,[M-H]-,,591-50-4,,,,,,,,
DBK001997,"(1r)-4-[(1e,3e,5e,7z,9e,11z,13e,15e)-17-Hydroxy-3,7,12,16-Tetramethylheptadeca-1,3,5,7,9,11,13,15-Octaen-1-Yl]-3,5,5-Trimethylcyclohex-3-En-1-Ol",C30H42O2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001998,Trifluoro-thiamin phosphate,C12H13F3N4O4PS,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK001999,Ilomastat,C20H28N4O4,0.0,[M+H]+,[M-H]-,,142880-36-2,,,,,,,,
DBK002000,2'-Deoxyuridine,C9H12N2O5,0.0,[M+H]+,[M-H]-,,951-78-0,,,,,,,,
DBK002001,N-Bromoacetyl-Aminoethyl Phosphate,C4H9BrNO5P,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002002,SR11254,C26H27NO3,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002003,"3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid (4-Sulfamoyl-Phenyl)-Amide",C23H18Br2N2O7S2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002004,4-Oxosebacic Acid,C10H16O5,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002005,Platelet Activating Factor,C26H54NO7P,0.0,[M+H]+,[M-H]-,,74389-68-7,,,,,,,,
DBK002006,Orotic acid,C5H4N2O4,0.0,[M+H]+,[M-H]-,,65-86-1,,,,,,,,
DBK002007,D-glyceraldehyde 3-phosphate,C3H7O6P,0.0,[M+H]+,[M-H]-,,591-57-1,,,,,,,,
DBK002008,O2-Sulfo-Glucuronic Acid,C6H10O10S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002009,Ethyl-Trimethyl-Silane,C5H14Si,0.0,[M+H]+,[M-H]-,,3439-38-1,,,,,,,,
DBK002010,Flufenamic acid,C14H10F3NO2,0.0,[M+H]+,[M-H]-,,530-78-9,,,,,,,,
DBK002011,Argininosuccinate,C10H18N4O6,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002012,4-(Acetylamino)-3-Amino Benzoic Acid,C9H10N2O3,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002013,[4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium,C34H36N5O2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002014,Dimethylallyl S-Thiolodiphosphate,C5H14O6P2S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002015,S-(2-oxo)pentadecylcoa,C36H64N7O17P3S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002016,Porphobilinogen,C10H14N2O4,0.0,[M+H]+,[M-H]-,,487-90-1,,,,,,,,
DBK002017,"2,6-Dimethyl-7-Octen-2-Ol",C10H20O,0.0,[M+H]+,[M-H]-,,18479-58-8,,,,,,,,
DBK002018,7-Keto-8-Aminopelargonic Acid,C9H17NO3,0.0,[M+H]+,[M-H]-,,4707-58-8,,,,,,,,
DBK002019,"[2-Aminomethyl-5-Oxo-4-(4-Oxo-Cyclohexa-2,5-Dienylmethyl)-4,5-Dihydro-Imidazol-1-Yl] -Acetaldehyde",C13H15N3O3,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002020,(S)-2-(Phosphonoxy)Caproyl-L-Leucyl-P-Nitroanilide,C18H28N3O8P,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002021,1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea,C15H19ClN4O,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002022,"7,8-dihydro-7,7-dimethyl-6-hydroxypterin",C8H11N5O2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002023,Benzoylformic Acid,C8H6O3,0.0,[M+H]+,[M-H]-,,611-73-4,,,,,,,,
DBK002024,(R)-Mandelic acid,C8H8O3,0.0,[M+H]+,[M-H]-,,611-71-2,,,,,,,,
DBK002025,Formycin,C10H13N5O4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002026,5'-S-methyl-5'-thioadenosine,C11H15N5O3S,0.0,[M+H]+,[M-H]-,,2457-80-9,,,,,,,,
DBK002027,2-Phenylamino-Ethanesulfonic Acid,C8H11NO3S,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002028,Protoporphyrin,C34H34N4O4,0.0,[M+H]+,[M-H]-,,553-12-8,,,,,,,,
DBK002029,2-amino-3-(4-amino-1H-indol-3-yl)propanoic acid,C11H13N3O2,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002030,2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine,C14H13N4O,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002031,CRA-9334,C15H13BrN4O,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK002032,2-Aminopropanedioic Acid,C3H5NO4,0.0,[M+H]+,[M-H]-,,1068-84-4,,,,,,,,
